table_name,constraint_name,check_clause
audit_log,2200_22070_5_not_null,old_value IS NOT NULL
audit_log,2200_22070_4_not_null,action_type IS NOT NULL
audit_log,2200_22070_3_not_null,entity_id IS NOT NULL
audit_log,2200_22070_2_not_null,entity_type IS NOT NULL
audit_log,2200_22070_1_not_null,id IS NOT NULL
audit_log,2200_22070_8_not_null,performed_at IS NOT NULL
audit_log,2200_22070_7_not_null,performed_by IS NOT NULL
audit_log,2200_22070_6_not_null,new_value IS NOT NULL
bet_requests,2200_22110_1_not_null,id IS NOT NULL
bet_requests,2200_22110_2_not_null,match_id IS NOT NULL
bet_requests,2200_22110_3_not_null,member_id IS NOT NULL
bet_requests,2200_22110_5_not_null,team_bet_on IS NOT NULL
bet_requests,bet_requests_accepted_amount_check,((accepted_amount >= 0) AND (accepted_amount <= requested_amount))
bet_requests,2200_22110_13_not_null,created_via IS NOT NULL
bet_requests,bet_requests_bet_type_check,"(bet_type = ANY (ARRAY['mandatory_self'::text, 'mandatory_monday'::text, 'voluntary'::text]))"
bet_requests,bet_requests_created_by_role_check,"(created_by_role = ANY (ARRAY['member'::text, 'bookkeeper'::text, 'system'::text]))"
bet_requests,bet_requests_created_via_check,"(created_via = ANY (ARRAY['manual'::text, 'rule_engine'::text, 'scheduled_job'::text, 'import'::text, 'api'::text]))"
bet_requests,bet_requests_reason_required,"(((status = ANY (ARRAY['rejected'::text, 'expired'::text])) AND (status_reason IS NOT NULL)) OR (status <> ALL (ARRAY['rejected'::text, 'expired'::text])))"
bet_requests,bet_requests_requested_amount_check,(requested_amount > 0)
bet_requests,bet_requests_role_via_combination,"(((created_by_role = 'member'::text) AND (created_via = ANY (ARRAY['manual'::text, 'api'::text]))) OR ((created_by_role = 'bookkeeper'::text) AND (created_via = ANY (ARRAY['manual'::text, 'import'::text, 'api'::text]))) OR ((created_by_role = 'system'::text) AND (created_via = ANY (ARRAY['rule_engine'::text, 'scheduled_job'::text]))))"
bet_requests,bet_requests_service_api_only,((created_via = 'api'::text) OR (created_by_service IS NULL))
bet_requests,bet_requests_status_check,"(status = ANY (ARRAY['pending'::text, 'partially_accepted'::text, 'accepted'::text, 'rejected'::text, 'expired'::text]))"
bet_requests,bet_requests_system_no_user,((created_by_role <> 'system'::text) OR (created_by_user_id IS NULL))
bet_requests,bet_requests_status_reason_check,"((status_reason IS NULL) OR (status_reason = ANY (ARRAY['capacity_overflow_lifo'::text, 'manual_reject'::text, 'deadline_passed'::text, 'match_cancelled'::text])))"
bet_requests,bet_requests_team_bet_on_check,"(team_bet_on = ANY (ARRAY['A'::text, 'B'::text]))"
bet_requests,2200_22110_12_not_null,created_by_role IS NOT NULL
bet_requests,2200_22110_11_not_null,created_at IS NOT NULL
bet_requests,2200_22110_9_not_null,status IS NOT NULL
bet_requests,2200_22110_8_not_null,accepted_amount IS NOT NULL
bet_requests,2200_22110_7_not_null,requested_amount IS NOT NULL
bet_requests,2200_22110_6_not_null,bet_type IS NOT NULL
bets,2200_17315_14_not_null,created_via IS NOT NULL
bets,bets_amount_liang_check,(amount_liang > 0)
bets,bets_bet_type_check,"(bet_type = ANY (ARRAY['mandatory_self'::text, 'mandatory_monday'::text, 'voluntary'::text]))"
bets,bets_created_by_role_check,"(created_by_role = ANY (ARRAY['member'::text, 'bookkeeper'::text, 'system'::text]))"
bets,bets_created_via_check,"(created_via = ANY (ARRAY['manual'::text, 'rule_engine'::text, 'scheduled_job'::text, 'import'::text, 'api'::text]))"
bets,bets_result_check,"(result = ANY (ARRAY['win'::text, 'loss'::text, 'pending'::text]))"
