table_name,column_name,data_type,is_nullable,column_default
audit_log,id,uuid,NO,gen_random_uuid()
audit_log,entity_type,text,NO,null
audit_log,entity_id,uuid,NO,null
audit_log,action_type,text,NO,null
audit_log,old_value,jsonb,NO,null
audit_log,new_value,jsonb,NO,null
audit_log,performed_by,text,NO,null
audit_log,performed_at,timestamp with time zone,NO,now()
bet_requests,id,uuid,NO,gen_random_uuid()
bet_requests,match_id,uuid,NO,null
bet_requests,member_id,uuid,NO,null
bet_requests,sporadic_pool_id,uuid,YES,null
bet_requests,team_bet_on,text,NO,null
bet_requests,bet_type,text,NO,null
bet_requests,requested_amount,integer,NO,null
bet_requests,accepted_amount,integer,NO,0
bet_requests,status,text,NO,'pending'::text
bet_requests,status_reason,text,YES,null
bet_requests,created_at,timestamp with time zone,NO,now()
bet_requests,created_by_role,text,NO,null
bet_requests,created_via,text,NO,null
bet_requests,created_by_user_id,uuid,YES,null
bet_requests,created_by_service,text,YES,null
bets,id,uuid,NO,gen_random_uuid()
bets,match_id,uuid,YES,null
bets,member_id,uuid,YES,null
bets,team_bet_on,text,NO,null
bets,amount_liang,integer,NO,null
bets,bet_type,text,NO,null
bets,result,text,YES,'pending'::text
bets,created_at,timestamp with time zone,YES,now()
bets,status,text,NO,'active'::text
bets,void_reason,text,YES,null
bets,sporadic_pool_id,uuid,YES,null
bets,created_by_role,text,NO,null
bets,created_via,text,NO,null
bets,created_by_user_id,uuid,YES,null
bets,created_by_service,text,YES,null
club_billing_config,club_id,uuid,NO,gen_random_uuid()
club_billing_config,provider_rate_bps,integer,NO,100
club_billing_config,free_period_months,integer,NO,3
club_billing_config,contract_start_date,date,NO,null
club_billing_config,billing_enabled,boolean,NO,true
match_settlements,id,uuid,NO,gen_random_uuid()
match_settlements,member_id,uuid,NO,null
match_settlements,match_id,uuid,NO,null
match_settlements,settlement_context,text,NO,null
match_settlements,sporadic_pool_id,uuid,YES,null
match_settlements,settlement_date,date,NO,null
match_settlements,gross_liang,numeric,NO,null
match_settlements,rake_liang,numeric,NO,null
match_settlements,provider_fee_liang,numeric,NO,0
match_settlements,net_liang,numeric,NO,null
match_settlements,detail_jsonb,jsonb,YES,null
match_settlements,created_at,timestamp with time zone,NO,now()
match_settlements,updated_at,timestamp with time zone,NO,now()
match_team_player_shares,id,uuid,NO,gen_random_uuid()
match_team_player_shares,match_id,uuid,NO,null
match_team_player_shares,match_side,text,NO,null
match_team_player_shares,player_id,uuid,NO,null
match_team_player_shares,share_bps,integer,NO,null
match_team_player_shares,context,text,NO,'base'::text
match_team_player_shares,sporadic_pool_id,uuid,YES,null
match_team_player_shares,pre_adjustment_bps,integer,YES,null
matches,id,uuid,NO,gen_random_uuid()
matches,date,date,NO,null
matches,match_type,text,NO,null
matches,team_a_player1_id,uuid,YES,null
matches,team_a_player2_id,uuid,YES,null
matches,team_b_player1_id,uuid,YES,null
matches,team_b_player2_id,uuid,YES,null
matches,handicap_type,text,YES,null
matches,handicap_value,integer,YES,null
matches,handicap_team,text,YES,null
matches,capacity_zhi,integer,YES,null
matches,result,text,YES,'pending'::text
matches,status,text,YES,'upcoming'::text
matches,notes,text,YES,null
matches,created_at,timestamp with time zone,YES,now()
matches,name,text,YES,null
matches,start_time,text,YES,null
matches,bet_config,text,NO,'standard'::text
members,id,uuid,NO,gen_random_uuid()
members,name,text,NO,null
members,phone,text,YES,null
members,active,boolean,YES,true
members,created_at,timestamp with time zone,YES,now()
members,referrer_id,uuid,YES,null
settlements,id,uuid,NO,gen_random_uuid()
settlements,member_id,uuid,YES,null
settlements,year,integer,NO,null
settlements,month,integer,NO,null
settlements,gross_liang,numeric,YES,0
settlements,rake_liang,numeric,YES,0
settlements,net_liang,numeric,YES,0
settlements,status,text,YES,'pending'::text
settlements,settled_date,date,YES,null
settlements,created_at,timestamp with time zone,YES,now()
settlements,provider_fee_liang,numeric,NO,0
sporadic_pools,id,uuid,NO,gen_random_uuid()
sporadic_pools,match_id,uuid,NO,null
sporadic_pools,opened_by_team,text,NO,null
sporadic_pools,handicap_type,text,NO,null
sporadic_pools,handicap_value,integer,NO,0
sporadic_pools,handicap_team,text,NO,'A'::text
sporadic_pools,capacity_zhi,integer,NO,null
sporadic_pools,result,text,NO,'pending'::text
sporadic_pools,created_at,timestamp with time zone,NO,now()
